Team,Field 1,Readiness,Demo 1,Field 2,Readiness,Demo 2,Field 3,Readiness,Demo 3,Field 4,Readiness,Demo 4,Field 5,Readiness,Demo 5,Field 6,Readiness,Demo 6,Number of Demos
DICE,Mistatement Identification,Ongoing,None,Bankruptcy Prediction,Ongoing,Yes,None,None,None,None,None,None,None,None,None,None,None,None,1
MagCIL,Music Information Retrieval,Algorithms,None,Speech Analytics,Algorithms,None,Video Analysis,Algorithms,None,Image Recognition,Ongoing,None,Sound Scene Recognition,Datasets,None,Soundscape Analysis,Datasets,None,0
BioHIT,Cancer Prediction,Datasets,Yes,Drug-drug Interaction,Datasets,Yes,Genetic Therapy,Algorithms,Yes,None,None,None,None,None,None,None,None,None,3
CAKT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
CER,Maritime Situational Awareness,Datasets,Yes,Fleet Management,Datasets,Yes,Activity Recognition,Datasets,Yes,Forecasting in Cancer Cell Simulations,Datasets,Yes,None,None,,None,None,None,4
DIA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
KMU,IT Systems and Knowledge Management,Ongoing,None,Intelligent DSS,Ongoing,None,Security of Cloud-Based Services,Ongoing,None,Edge Computing and AI-Driven Virtual Assistants,Ongoing,None,Competency-Based Learning,Ongoing,None,None,None,None,3
RoboSKEL,Effective Data Colletion,Ongoing,None,AI Assistance in Data Relevance,Ongoing,None,Learning with small datasets,Ongoing,None,Design Problems,Ongoing,None,None,None,None,None,None,None,4
AI Politeia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
ARTIFACT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
INSANE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
ID-IS,Smart Cities,Ongoing,None,Earth Observation,Ongoing,None,Preference Systems,Ongoing,None,None,None,None,None,None,None,None,None,None,0
DEG,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
ISL,Sensor Fusion,Datasets,Yes,Security Engineering,Datasets,Yes,Privacy and Ethics,Ongoing,None,None,None,None,None,None,None,None,None,None,2
